index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
16-38-24,0.0,769.0,1.0,0.0,0.0,0.0
16-38-34,0.0,329.0,1.0,0.0,0.0,0.0
16-38-40,0.0,2513.0,1.0,0.0,0.0,0.0
16-38-51,0.0,395.0,1.0,0.0,0.0,0.0
16-38-58,0.0,271.0,1.0,0.0,0.0,0.0
16-39-04,2.0,1121.0,1.0,2.0,2.0,0.0
16-39-12,0.0,130.0,1.0,0.0,0.0,0.0
16-39-13,0.0,825.0,1.0,0.0,0.0,0.0
16-39-26,1.0,2064.0,1.0,1.0,1.0,0.0
16-39-34,0.0,2577.0,1.0,0.0,0.0,0.0
16-39-58,0.0,2353.0,1.0,0.0,0.0,0.0
16-40-24,0.0,2359.0,1.0,0.0,0.0,0.0
16-40-33,4.0,1015.0,1.0,4.0,0.0,1.0
16-40-42,1.0,1188.0,1.0,1.0,1.0,0.0
16-40-55,2.0,2019.0,1.0,2.0,2.0,0.0
16-41-04,0.0,2338.0,1.0,0.0,0.0,0.0
16-41-16,0.0,759.0,1.0,0.0,0.0,0.0
16-41-27,3.0,2263.0,1.0,3.0,3.0,0.0
16-41-43,0.0,2374.0,1.0,3.0,3.0,0.0
16-41-55,0.0,499.0,1.0,0.0,0.0,0.0
16-42-01,0.0,2252.0,1.0,0.0,0.0,0.0
16-42-13,0.0,2271.0,1.0,0.0,0.0,0.0
16-42-23,0.0,2433.0,1.0,0.0,0.0,0.0
16-42-35,0.0,1154.0,1.0,0.0,0.0,0.0
16-42-52,0.0,1423.0,1.0,0.0,0.0,0.0
16-43-06,0.0,453.0,1.0,0.0,0.0,0.0
16-43-10,0.0,168.0,1.0,0.0,0.0,0.0
16-43-12,0.0,627.0,1.0,0.0,0.0,0.0
16-43-16,0.0,2544.0,1.0,0.0,0.0,0.0
16-43-32,0.0,730.0,1.0,0.0,0.0,0.0
16-43-41,0.0,382.0,1.0,0.0,0.0,0.0
16-43-47,0.0,2100.0,1.0,0.0,0.0,0.0
16-44-00,0.0,290.0,1.0,0.0,0.0,0.0
16-44-05,2.0,594.0,1.0,2.0,2.0,0.0
16-44-18,0.0,626.0,1.0,0.0,0.0,0.0
16-44-25,0.0,2981.0,1.0,0.0,0.0,0.0
16-44-55,0.0,119.0,1.0,0.0,0.0,0.0
16-44-58,0.0,2206.0,1.0,0.0,0.0,0.0
16-45-10,2.0,1806.0,1.0,2.0,2.0,0.0
16-45-22,0.0,67.0,1.0,0.0,0.0,0.0
16-45-24,0.0,1420.0,1.0,0.0,0.0,0.0
16-45-35,0.0,6.0,1.0,0.0,0.0,0.0
16-45-36,0.0,2469.0,1.0,0.0,0.0,0.0
16-45-54,0.0,2339.0,1.0,0.0,0.0,0.0
16-46-06,1.0,254.0,1.0,1.0,1.0,0.0
16-46-08,0.0,2257.0,1.0,0.0,0.0,0.0
16-46-22,0.0,2062.0,1.0,0.0,0.0,0.0
16-46-32,0.0,1362.0,1.0,0.0,0.0,0.0
16-46-45,0.0,1301.0,1.0,0.0,0.0,0.0
16-47-02,0.0,2406.0,1.0,0.0,0.0,0.0
16-47-17,0.0,2346.0,1.0,0.0,0.0,0.0
16-47-26,0.0,2568.0,1.0,0.0,0.0,0.0
16-47-35,0.0,2301.0,1.0,0.0,0.0,0.0
16-47-48,0.0,314.0,1.0,0.0,0.0,0.0
16-47-50,0.0,1061.0,1.0,0.0,0.0,0.0
16-48-02,1.0,2471.0,1.0,1.0,1.0,0.0
16-48-21,0.0,900.0,1.0,0.0,0.0,0.0
16-48-29,0.0,402.0,1.0,0.0,0.0,0.0
16-48-33,0.0,2175.0,1.0,0.0,0.0,0.0
16-48-49,0.0,356.0,1.0,0.0,0.0,0.0
16-48-53,0.0,253.0,1.0,0.0,0.0,0.0
16-48-54,0.0,887.0,1.0,0.0,0.0,0.0
16-49-02,0.0,1655.0,1.0,0.0,0.0,0.0
16-49-17,0.0,2114.0,1.0,0.0,0.0,0.0
16-49-30,0.0,2384.0,1.0,0.0,0.0,0.0
16-49-43,0.0,2111.0,1.0,0.0,0.0,0.0
16-49-53,0.0,2334.0,1.0,0.0,0.0,0.0
16-50-09,3.0,900.0,1.0,3.0,3.0,0.0
16-50-24,0.0,693.0,1.0,0.0,0.0,0.0
16-50-31,0.0,2968.0,1.0,0.0,0.0,0.0
16-50-54,0.0,187.0,1.0,0.0,0.0,0.0
16-50-56,2.0,3240.0,1.0,2.0,2.0,0.0
16-51-21,0.0,2524.0,1.0,0.0,0.0,0.0
16-51-36,0.0,1523.0,1.0,0.0,0.0,0.0
16-51-47,0.0,228.0,1.0,0.0,0.0,0.0
16-51-51,0.0,424.0,1.0,0.0,0.0,0.0
16-51-54,0.0,1002.0,1.0,0.0,0.0,0.0
16-52-04,0.0,1511.0,1.0,0.0,0.0,0.0
16-52-14,1.0,774.0,1.0,1.0,1.0,0.0
16-52-26,0.0,2183.0,1.0,0.0,0.0,0.0
16-52-36,0.0,1960.0,1.0,0.0,0.0,0.0
16-52-43,0.0,2132.0,1.0,0.0,0.0,0.0
16-52-58,0.0,2015.0,1.0,0.0,0.0,0.0
16-53-15,0.0,2401.0,1.0,0.0,0.0,0.0
16-53-32,0.0,2363.0,1.0,0.0,0.0,0.0
16-53-49,0.0,380.0,1.0,0.0,0.0,0.0
16-53-58,0.0,2475.0,1.0,0.0,0.0,0.0
16-54-09,0.0,1280.0,1.0,0.0,0.0,0.0
16-54-25,0.0,2360.0,1.0,0.0,0.0,0.0
16-54-36,0.0,56.0,1.0,0.0,0.0,0.0
16-54-37,0.0,3145.0,1.0,0.0,0.0,0.0
16-54-49,0.0,2338.0,1.0,0.0,0.0,0.0
16-54-58,0.0,166.0,1.0,0.0,0.0,0.0
16-55-00,0.0,413.0,1.0,0.0,0.0,0.0
16-55-04,0.0,284.0,1.0,0.0,0.0,0.0
16-55-06,0.0,1710.0,1.0,0.0,0.0,0.0
16-55-14,0.0,2.0,1.0,0.0,0.0,0.0
16-55-17,0.0,1990.0,1.0,0.0,0.0,0.0
16-55-37,0.0,1793.0,1.0,0.0,0.0,0.0
16-56-03,0.0,591.0,1.0,0.0,0.0,0.0
16-56-13,0.0,213.0,1.0,0.0,0.0,0.0
16-56-15,4.0,899.0,1.0,4.0,0.0,1.0
16-56-20,2.0,1313.0,1.0,2.0,2.0,0.0
16-56-30,3.0,2496.0,1.0,3.0,3.0,0.0
16-56-44,0.0,1569.0,1.0,0.0,0.0,0.0
16-56-58,0.0,757.0,1.0,0.0,0.0,0.0
16-57-05,0.0,914.0,1.0,0.0,0.0,0.0
16-57-11,0.0,1205.0,1.0,0.0,0.0,0.0
16-57-20,0.0,1641.0,1.0,0.0,0.0,0.0
16-57-31,0.0,1275.0,1.0,0.0,0.0,0.0
16-57-41,0.0,491.0,1.0,0.0,0.0,0.0
16-57-46,1.0,2128.0,1.0,1.0,1.0,0.0
16-57-58,1.0,1171.0,1.0,1.0,1.0,0.0
16-58-07,3.0,1843.0,1.0,3.0,3.0,0.0
16-58-19,0.0,1405.0,1.0,0.0,0.0,0.0
16-58-28,0.0,1883.0,1.0,0.0,0.0,0.0
16-58-41,0.0,1505.0,1.0,0.0,0.0,0.0
16-58-54,1.0,2309.0,1.0,1.0,1.0,0.0
16-59-09,0.0,204.0,1.0,0.0,0.0,0.0
16-59-13,0.0,973.0,1.0,0.0,0.0,0.0
16-59-19,0.0,99.0,1.0,0.0,0.0,0.0
16-59-21,0.0,286.0,1.0,0.0,0.0,0.0
16-59-25,0.0,314.0,1.0,0.0,0.0,0.0
16-59-27,0.0,84.0,1.0,0.0,0.0,0.0
16-59-28,0.0,37.0,1.0,0.0,0.0,0.0
16-59-29,0.0,732.0,1.0,0.0,0.0,0.0
16-59-36,1.0,2784.0,1.0,1.0,1.0,0.0
16-59-55,1.0,2278.0,1.0,1.0,1.0,0.0
17-00-10,0.0,574.0,1.0,0.0,0.0,0.0
17-00-13,0.0,3278.0,1.0,0.0,0.0,0.0
17-00-43,3.0,2102.0,1.0,3.0,3.0,0.0
17-00-55,0.0,108.0,1.0,0.0,0.0,0.0
17-00-57,0.0,1403.0,1.0,0.0,0.0,0.0
17-01-07,0.0,2155.0,1.0,0.0,0.0,0.0
17-01-25,0.0,559.0,1.0,0.0,0.0,0.0
17-01-32,0.0,2088.0,1.0,0.0,0.0,0.0
17-01-41,0.0,2013.0,1.0,0.0,0.0,0.0
17-01-55,0.0,1763.0,1.0,0.0,0.0,0.0
17-02-04,1.0,2179.0,1.0,1.0,1.0,0.0
17-02-21,2.0,2035.0,1.0,2.0,2.0,0.0
17-02-32,0.0,2045.0,1.0,0.0,0.0,0.0
17-02-45,0.0,1801.0,1.0,0.0,0.0,0.0
17-03-08,0.0,1144.0,1.0,0.0,0.0,0.0
17-03-17,0.0,1891.0,1.0,0.0,0.0,0.0
17-03-32,0.0,77.0,1.0,0.0,0.0,0.0
17-03-33,0.0,2345.0,1.0,0.0,0.0,0.0
17-03-53,0.0,1992.0,1.0,0.0,0.0,0.0
17-04-05,0.0,879.0,1.0,0.0,0.0,0.0
17-04-16,2.0,637.0,1.0,2.0,2.0,0.0
17-04-25,100.0,241.0,3.0,100.0,0.0,0.0
17-04-30,0.0,2304.0,1.0,0.0,0.0,0.0
17-04-49,0.0,427.0,1.0,0.0,0.0,0.0
17-04-52,0.0,3326.0,1.0,0.0,0.0,0.0
17-05-14,0.0,2376.0,1.0,0.0,0.0,0.0
17-05-29,0.0,2091.0,1.0,0.0,0.0,0.0
17-05-42,6.0,2470.0,1.0,6.0,2.0,1.0
17-06-05,0.0,169.0,1.0,0.0,0.0,0.0
17-06-10,3.0,2490.0,1.0,3.0,3.0,0.0
17-06-19,0.0,2426.0,1.0,0.0,0.0,0.0
17-06-28,0.0,120.0,1.0,0.0,0.0,0.0
17-06-29,0.0,727.0,1.0,0.0,0.0,0.0
17-06-37,0.0,30.0,1.0,0.0,0.0,0.0
17-06-38,0.0,1518.0,1.0,0.0,0.0,0.0
17-06-55,0.0,2420.0,1.0,0.0,0.0,0.0
17-07-10,0.0,2166.0,1.0,0.0,0.0,0.0
17-07-17,0.0,626.0,1.0,0.0,0.0,0.0
17-07-22,0.0,83.0,1.0,0.0,0.0,0.0
17-07-23,0.0,863.0,1.0,0.0,0.0,0.0
17-07-28,0.0,314.0,1.0,0.0,0.0,0.0
17-07-34,0.0,2170.0,1.0,0.0,0.0,0.0
