index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
13-44-41,24.0,253.0,1.0,24.0,0.0,6.0
13-45-05,0.0,25.0,1.0,0.0,0.0,0.0
13-45-07,10.0,185.0,1.0,10.0,0.0,0.0
13-45-18,5.0,132.0,1.0,5.0,5.0,0.0
13-45-24,0.0,264.0,1.0,0.0,0.0,0.0
13-45-39,3.0,85.0,1.0,3.0,3.0,0.0
13-45-44,0.0,62.0,1.0,0.0,0.0,0.0
13-45-48,0.0,85.0,1.0,0.0,0.0,0.0
13-45-53,0.0,25.0,1.0,0.0,0.0,0.0
13-45-55,0.0,54.0,1.0,0.0,0.0,0.0
13-45-58,0.0,76.0,1.0,0.0,0.0,0.0
13-46-01,10.0,189.0,1.0,10.0,0.0,0.0
13-46-09,5.0,195.0,1.0,5.0,5.0,0.0
13-46-21,0.0,220.0,1.0,0.0,0.0,0.0
13-46-34,0.0,188.0,1.0,0.0,0.0,0.0
13-46-49,8.0,241.0,1.0,8.0,0.0,2.0
13-46-59,0.0,204.0,1.0,0.0,0.0,0.0
13-47-11,3.0,40.0,1.0,3.0,3.0,0.0
13-47-13,8.0,284.0,1.0,8.0,4.0,1.0
13-47-29,0.0,48.0,1.0,7.0,7.0,0.0
13-47-31,0.0,62.0,1.0,0.0,0.0,0.0
13-47-34,0.0,98.0,1.0,0.0,0.0,0.0
13-47-38,20.0,253.0,1.0,20.0,0.0,5.0
13-47-56,0.0,123.0,1.0,0.0,0.0,0.0
13-48-04,4.0,91.0,1.0,4.0,4.0,0.0
13-48-09,0.0,105.0,1.0,0.0,0.0,0.0
13-48-13,2.0,227.0,1.0,2.0,2.0,0.0
13-48-27,0.0,156.0,1.0,0.0,0.0,0.0
13-48-37,0.0,255.0,1.0,0.0,0.0,0.0
13-48-54,0.0,203.0,1.0,0.0,0.0,0.0
13-49-06,0.0,176.0,1.0,0.0,0.0,0.0
13-49-14,4.0,103.0,1.0,4.0,4.0,0.0
13-49-21,0.0,80.0,1.0,0.0,0.0,0.0
13-49-24,3.0,268.0,1.0,3.0,3.0,0.0
13-49-36,0.0,221.0,1.0,0.0,0.0,0.0
13-49-49,0.0,359.0,1.0,0.0,0.0,0.0
13-50-19,0.0,132.0,1.0,0.0,0.0,0.0
13-50-26,0.0,131.0,1.0,0.0,0.0,0.0
