total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
7.0,214.0,1.0,7.0,3.0,1.0
7.0,1383.0,1.0,7.0,7.0,0.0
10.0,280.0,1.0,10.0,0.0,0.0
0.0,72.0,1.0,0.0,0.0,0.0
3.0,313.0,1.0,3.0,3.0,0.0
0.0,57.0,1.0,0.0,0.0,0.0
0.0,149.0,1.0,0.0,0.0,0.0
0.0,74.0,1.0,0.0,0.0,0.0
0.0,153.0,1.0,0.0,0.0,0.0
50.0,900.0,1.0,50.0,2.0,12.0
0.0,71.0,1.0,0.0,0.0,0.0
0.0,256.0,1.0,0.0,0.0,0.0
28.0,521.0,1.0,28.0,0.0,7.0
16.0,191.0,1.0,16.0,0.0,4.0
28.0,503.0,1.0,28.0,0.0,7.0
0.0,171.0,1.0,3.0,3.0,0.0
16.0,2382.0,1.0,16.0,0.0,4.0
24.0,2988.0,1.0,24.0,0.0,6.0
64.0,1028.0,1.0,64.0,0.0,16.0
0.0,716.0,1.0,0.0,0.0,0.0
28.0,150.0,1.0,28.0,0.0,7.0
24.0,623.0,1.0,24.0,0.0,6.0
20.0,292.0,1.0,20.0,0.0,5.0
4.0,141.0,1.0,4.0,0.0,1.0
0.0,3301.0,1.0,0.0,0.0,0.0
2.0,286.0,1.0,3.0,3.0,0.0
14.0,183.0,1.0,14.0,0.0,1.0
3.0,58.0,1.0,3.0,3.0,0.0
23.0,1656.0,1.0,23.0,3.0,5.0
3.0,360.0,1.0,4.0,4.0,0.0
0.0,287.0,1.0,0.0,0.0,0.0
2.0,156.0,1.0,2.0,2.0,0.0
3.0,61.0,1.0,3.0,3.0,0.0
0.0,153.0,1.0,0.0,0.0,0.0
15.0,3152.0,1.0,15.0,3.0,3.0
4.0,119.0,1.0,4.0,0.0,1.0
27.0,461.0,1.0,27.0,3.0,6.0
7.0,1741.0,1.0,7.0,3.0,1.0
16.0,275.0,1.0,16.0,0.0,4.0
98.0,1658.0,1.0,98.0,0.0,22.0
