total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
0.0,53.0,1.0,0.0,0.0,0.0
7.0,190.0,1.0,7.0,7.0,0.0
7.0,110.0,1.0,7.0,7.0,0.0
4.0,40.0,1.0,4.0,0.0,1.0
3.0,12.0,1.0,3.0,3.0,0.0
8.0,345.0,1.0,8.0,0.0,2.0
4.0,110.0,1.0,4.0,0.0,1.0
0.0,133.0,1.0,7.0,7.0,0.0
28.0,477.0,1.0,35.0,7.0,7.0
0.0,40.0,1.0,0.0,0.0,0.0
9.0,427.0,1.0,9.0,5.0,1.0
0.0,10.0,1.0,0.0,0.0,0.0
0.0,126.0,1.0,0.0,0.0,0.0
0.0,125.0,1.0,0.0,0.0,0.0
0.0,26.0,1.0,0.0,0.0,0.0
3.0,286.0,1.0,3.0,3.0,0.0
4.0,338.0,1.0,4.0,4.0,0.0
21.0,203.0,1.0,21.0,5.0,4.0
0.0,14.0,1.0,0.0,0.0,0.0
2.0,220.0,1.0,2.0,2.0,0.0
0.0,123.0,1.0,0.0,0.0,0.0
0.0,173.0,1.0,0.0,0.0,0.0
25.0,260.0,1.0,25.0,1.0,5.0
0.0,101.0,1.0,0.0,0.0,0.0
0.0,68.0,1.0,0.0,0.0,0.0
0.0,137.0,1.0,0.0,0.0,0.0
2.0,120.0,1.0,2.0,2.0,0.0
4.0,77.0,1.0,4.0,0.0,1.0
4.0,89.0,1.0,4.0,0.0,1.0
10.0,313.0,1.0,10.0,2.0,1.0
4.0,268.0,1.0,4.0,4.0,0.0
0.0,246.0,1.0,0.0,0.0,0.0
0.0,64.0,1.0,0.0,0.0,0.0
0.0,23.0,1.0,0.0,0.0,0.0
0.0,52.0,1.0,0.0,0.0,0.0
1.0,62.0,1.0,1.0,1.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
0.0,399.0,1.0,0.0,0.0,0.0
0.0,74.0,1.0,0.0,0.0,0.0
0.0,137.0,1.0,0.0,0.0,0.0
4.0,613.0,1.0,4.0,0.0,1.0
15.0,365.0,1.0,15.0,7.0,2.0
4.0,195.0,1.0,4.0,0.0,1.0
0.0,84.0,1.0,0.0,0.0,0.0
13.0,63.0,1.0,13.0,0.0,0.0
4.0,64.0,1.0,4.0,0.0,1.0
9.0,281.0,1.0,9.0,5.0,1.0
30.0,96.0,1.0,30.0,0.0,5.0
0.0,109.0,1.0,0.0,0.0,0.0
0.0,110.0,1.0,0.0,0.0,0.0
23.0,50.0,1.0,23.0,3.0,5.0
0.0,122.0,1.0,3.0,3.0,0.0
0.0,317.0,1.0,0.0,0.0,0.0
0.0,46.0,1.0,0.0,0.0,0.0
0.0,240.0,1.0,0.0,0.0,0.0
4.0,89.0,1.0,4.0,0.0,1.0
4.0,714.0,1.0,4.0,0.0,1.0
0.0,12.0,1.0,0.0,0.0,0.0
2.0,72.0,1.0,2.0,2.0,0.0
3.0,847.0,1.0,3.0,3.0,0.0
0.0,622.0,1.0,0.0,0.0,0.0
0.0,52.0,1.0,0.0,0.0,0.0
0.0,510.0,1.0,0.0,0.0,0.0
3.0,72.0,1.0,3.0,3.0,0.0
0.0,59.0,1.0,0.0,0.0,0.0
2.0,60.0,1.0,2.0,2.0,0.0
7.0,82.0,1.0,7.0,7.0,0.0
16.0,290.0,1.0,16.0,2.0,1.0
0.0,242.0,1.0,0.0,0.0,0.0
11.0,156.0,1.0,11.0,7.0,1.0
0.0,29.0,1.0,0.0,0.0,0.0
80.0,183.0,2.0,80.0,0.0,5.0
0.0,163.0,1.0,0.0,0.0,0.0
0.0,138.0,1.0,0.0,0.0,0.0
0.0,18.0,1.0,0.0,0.0,0.0
0.0,200.0,1.0,0.0,0.0,0.0
0.0,254.0,1.0,7.0,7.0,0.0
0.0,98.0,1.0,7.0,7.0,0.0
0.0,147.0,1.0,0.0,0.0,0.0
0.0,69.0,1.0,0.0,0.0,0.0
0.0,311.0,1.0,0.0,0.0,0.0
17.0,55.0,1.0,17.0,0.0,1.0
4.0,425.0,1.0,4.0,0.0,1.0
16.0,76.0,1.0,16.0,0.0,4.0
10.0,350.0,1.0,12.0,2.0,0.0
4.0,199.0,1.0,4.0,4.0,0.0
3.0,54.0,1.0,3.0,3.0,0.0
0.0,34.0,1.0,0.0,0.0,0.0
8.0,487.0,1.0,8.0,0.0,2.0
0.0,88.0,1.0,0.0,0.0,0.0
0.0,186.0,1.0,2.0,2.0,0.0
0.0,450.0,1.0,7.0,7.0,0.0
23.0,300.0,1.0,23.0,7.0,4.0
5.0,54.0,1.0,5.0,1.0,1.0
0.0,19.0,1.0,0.0,0.0,0.0
0.0,141.0,1.0,0.0,0.0,0.0
6.0,635.0,1.0,6.0,2.0,1.0
0.0,187.0,1.0,0.0,0.0,0.0
