total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
7.0,210.0,1.0,7.0,3.0,1.0
0.0,111.0,1.0,0.0,0.0,0.0
30.0,1249.0,1.0,30.0,0.0,5.0
57.0,641.0,1.0,57.0,0.0,1.0
0.0,2436.0,1.0,0.0,0.0,0.0
32.0,1145.0,1.0,32.0,4.0,7.0
0.0,1505.0,1.0,0.0,0.0,0.0
4.0,1734.0,1.0,4.0,0.0,1.0
9.0,2259.0,1.0,9.0,1.0,2.0
2.0,227.0,1.0,2.0,2.0,0.0
12.0,1579.0,1.0,12.0,4.0,2.0
15.0,2272.0,1.0,15.0,3.0,3.0
0.0,1503.0,1.0,0.0,0.0,0.0
57.0,319.0,1.0,57.0,0.0,1.0
29.0,2176.0,1.0,29.0,1.0,7.0
2.0,387.0,1.0,2.0,2.0,0.0
0.0,2329.0,1.0,0.0,0.0,0.0
3.0,59.0,1.0,3.0,3.0,0.0
0.0,2247.0,1.0,0.0,0.0,0.0
3.0,183.0,1.0,3.0,3.0,0.0
0.0,238.0,1.0,0.0,0.0,0.0
11.0,1589.0,1.0,11.0,3.0,2.0
4.0,993.0,1.0,4.0,0.0,1.0
4.0,2431.0,1.0,4.0,0.0,1.0
0.0,272.0,1.0,0.0,0.0,0.0
16.0,1271.0,1.0,16.0,0.0,4.0
7.0,2423.0,1.0,7.0,3.0,1.0
0.0,2192.0,1.0,0.0,0.0,0.0
3.0,2017.0,1.0,3.0,3.0,0.0
8.0,2132.0,1.0,8.0,0.0,2.0
0.0,2147.0,1.0,0.0,0.0,0.0
0.0,176.0,1.0,0.0,0.0,0.0
16.0,1095.0,1.0,16.0,0.0,4.0
13.0,42.0,1.0,13.0,0.0,0.0
7.0,2352.0,1.0,7.0,3.0,1.0
0.0,2.0,1.0,0.0,0.0,0.0
26.0,1121.0,1.0,26.0,6.0,5.0
0.0,120.0,1.0,0.0,0.0,0.0
0.0,979.0,1.0,0.0,0.0,0.0
3.0,1372.0,1.0,3.0,3.0,0.0
0.0,209.0,1.0,0.0,0.0,0.0
8.0,1527.0,1.0,8.0,0.0,2.0
8.0,2389.0,1.0,8.0,0.0,1.0
13.0,58.0,1.0,13.0,0.0,0.0
0.0,114.0,1.0,0.0,0.0,0.0
8.0,2347.0,1.0,8.0,0.0,2.0
24.0,1113.0,1.0,24.0,0.0,6.0
0.0,2248.0,1.0,0.0,0.0,0.0
8.0,2338.0,1.0,8.0,0.0,2.0
0.0,109.0,1.0,0.0,0.0,0.0
0.0,2276.0,1.0,0.0,0.0,0.0
0.0,2453.0,1.0,0.0,0.0,0.0
8.0,1570.0,1.0,8.0,0.0,2.0
16.0,1910.0,1.0,16.0,0.0,4.0
3.0,60.0,1.0,3.0,3.0,0.0
0.0,2540.0,1.0,0.0,0.0,0.0
0.0,2313.0,1.0,0.0,0.0,0.0
3.0,186.0,1.0,3.0,3.0,0.0
0.0,153.0,1.0,0.0,0.0,0.0
0.0,2042.0,1.0,0.0,0.0,0.0
58.0,1001.0,2.0,58.0,0.0,2.0
0.0,1547.0,1.0,0.0,0.0,0.0
6.0,790.0,1.0,6.0,2.0,1.0
31.0,667.0,1.0,31.0,3.0,7.0
0.0,1494.0,1.0,0.0,0.0,0.0
0.0,2349.0,1.0,0.0,0.0,0.0
23.0,830.0,1.0,23.0,3.0,5.0
12.0,2247.0,1.0,12.0,0.0,3.0
4.0,2376.0,1.0,4.0,0.0,1.0
0.0,283.0,1.0,0.0,0.0,0.0
7.0,56.0,1.0,7.0,3.0,1.0
0.0,1584.0,1.0,0.0,0.0,0.0
24.0,956.0,1.0,24.0,0.0,6.0
4.0,225.0,1.0,17.0,0.0,1.0
0.0,2381.0,1.0,0.0,0.0,0.0
0.0,100.0,1.0,0.0,0.0,0.0
55.0,2541.0,1.0,55.0,3.0,13.0
4.0,1881.0,1.0,4.0,4.0,0.0
0.0,2419.0,1.0,0.0,0.0,0.0
0.0,2303.0,1.0,0.0,0.0,0.0
0.0,73.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0
6.0,124.0,1.0,6.0,2.0,1.0
4.0,116.0,1.0,17.0,0.0,1.0
24.0,2281.0,1.0,24.0,0.0,6.0
0.0,1.0,1.0,0.0,0.0,0.0
1.0,35.0,1.0,1.0,1.0,0.0
17.0,55.0,1.0,17.0,0.0,1.0
13.0,30.0,1.0,13.0,0.0,0.0
0.0,43.0,1.0,0.0,0.0,0.0
4.0,2257.0,1.0,4.0,0.0,1.0
32.0,97.0,1.0,32.0,0.0,8.0
0.0,112.0,1.0,0.0,0.0,0.0
0.0,46.0,1.0,0.0,0.0,0.0
7.0,985.0,1.0,7.0,3.0,1.0
7.0,278.0,1.0,7.0,3.0,1.0
53.0,1020.0,1.0,53.0,0.0,0.0
13.0,42.0,1.0,13.0,0.0,0.0
6.0,3310.0,1.0,6.0,2.0,1.0
4.0,2435.0,1.0,4.0,0.0,1.0
16.0,708.0,1.0,16.0,0.0,4.0
11.0,473.0,1.0,11.0,3.0,2.0
4.0,428.0,1.0,4.0,0.0,1.0
0.0,1092.0,1.0,0.0,0.0,0.0
7.0,84.0,1.0,7.0,3.0,1.0
4.0,1048.0,1.0,4.0,0.0,1.0
0.0,2445.0,1.0,0.0,0.0,0.0
36.0,2487.0,1.0,36.0,0.0,9.0
4.0,111.0,1.0,17.0,0.0,1.0
16.0,1292.0,1.0,16.0,0.0,4.0
0.0,2376.0,1.0,0.0,0.0,0.0
16.0,1008.0,1.0,16.0,0.0,4.0
0.0,2174.0,1.0,0.0,0.0,0.0
11.0,920.0,1.0,11.0,3.0,2.0
0.0,2374.0,1.0,0.0,0.0,0.0
7.0,556.0,1.0,7.0,3.0,1.0
11.0,478.0,1.0,11.0,3.0,2.0
0.0,2490.0,1.0,0.0,0.0,0.0
7.0,58.0,1.0,7.0,3.0,1.0
1.0,365.0,1.0,1.0,1.0,0.0
11.0,1158.0,1.0,11.0,3.0,2.0
0.0,2364.0,1.0,0.0,0.0,0.0
0.0,1504.0,1.0,0.0,0.0,0.0
4.0,2296.0,1.0,4.0,0.0,1.0
4.0,2394.0,1.0,4.0,0.0,1.0
0.0,2099.0,1.0,0.0,0.0,0.0
2.0,43.0,1.0,2.0,2.0,0.0
11.0,1443.0,1.0,11.0,3.0,2.0
0.0,2291.0,1.0,0.0,0.0,0.0
0.0,81.0,1.0,0.0,0.0,0.0
4.0,1275.0,1.0,4.0,0.0,1.0
24.0,1072.0,1.0,24.0,0.0,6.0
4.0,148.0,1.0,4.0,0.0,1.0
51.0,818.0,1.0,51.0,3.0,12.0
28.0,1694.0,1.0,28.0,0.0,7.0
38.0,677.0,1.0,38.0,6.0,8.0
11.0,638.0,1.0,11.0,3.0,2.0
8.0,2361.0,1.0,8.0,0.0,2.0
7.0,2306.0,1.0,7.0,3.0,1.0
0.0,2451.0,1.0,0.0,0.0,0.0
8.0,622.0,1.0,8.0,0.0,2.0
43.0,2159.0,1.0,43.0,1.0,8.0
4.0,2240.0,1.0,4.0,0.0,1.0
32.0,1126.0,1.0,32.0,0.0,8.0
0.0,2181.0,1.0,0.0,0.0,0.0
24.0,2416.0,1.0,24.0,0.0,6.0
6.0,583.0,1.0,6.0,6.0,0.0
0.0,1797.0,1.0,0.0,0.0,0.0
0.0,2345.0,1.0,0.0,0.0,0.0
7.0,1925.0,1.0,7.0,3.0,1.0
6.0,2297.0,1.0,6.0,2.0,1.0
0.0,1251.0,1.0,0.0,0.0,0.0
0.0,2407.0,1.0,0.0,0.0,0.0
0.0,133.0,1.0,0.0,0.0,0.0
28.0,2571.0,1.0,28.0,0.0,7.0
12.0,2182.0,1.0,12.0,0.0,3.0
53.0,2333.0,1.0,53.0,0.0,0.0
3.0,2293.0,1.0,3.0,3.0,0.0
5.0,1280.0,1.0,5.0,1.0,1.0
0.0,1364.0,1.0,0.0,0.0,0.0
0.0,168.0,1.0,0.0,0.0,0.0
0.0,90.0,1.0,0.0,0.0,0.0
0.0,64.0,1.0,0.0,0.0,0.0
4.0,2071.0,1.0,4.0,0.0,1.0
31.0,1171.0,1.0,31.0,3.0,7.0
4.0,1132.0,1.0,4.0,0.0,1.0
8.0,753.0,1.0,8.0,0.0,2.0
0.0,1867.0,1.0,0.0,0.0,0.0
0.0,2351.0,1.0,0.0,0.0,0.0
3.0,672.0,1.0,3.0,3.0,0.0
57.0,1747.0,1.0,57.0,0.0,1.0
4.0,1170.0,1.0,4.0,0.0,1.0
0.0,77.0,1.0,0.0,0.0,0.0
0.0,2006.0,1.0,0.0,0.0,0.0
0.0,3.0,1.0,0.0,0.0,0.0
24.0,2218.0,1.0,24.0,0.0,6.0
0.0,412.0,1.0,0.0,0.0,0.0
4.0,2104.0,1.0,4.0,0.0,1.0
11.0,1387.0,1.0,11.0,3.0,2.0
8.0,742.0,1.0,8.0,4.0,2.0
36.0,2215.0,1.0,36.0,4.0,8.0
14.0,2134.0,1.0,14.0,0.0,1.0
0.0,2206.0,1.0,0.0,0.0,0.0
4.0,2488.0,1.0,4.0,0.0,1.0
4.0,1860.0,1.0,4.0,0.0,1.0
4.0,642.0,1.0,4.0,0.0,1.0
8.0,2130.0,1.0,17.0,0.0,1.0
4.0,1015.0,1.0,4.0,0.0,1.0
0.0,2.0,1.0,0.0,0.0,0.0
8.0,1272.0,1.0,8.0,4.0,1.0
43.0,2395.0,1.0,43.0,3.0,10.0
16.0,2176.0,1.0,16.0,0.0,4.0
0.0,40.0,1.0,0.0,0.0,0.0
0.0,2.0,1.0,0.0,0.0,0.0
50.0,956.0,1.0,50.0,2.0,12.0
3.0,256.0,1.0,3.0,3.0,0.0
0.0,65.0,1.0,0.0,0.0,0.0
0.0,177.0,1.0,0.0,0.0,0.0
4.0,2021.0,1.0,4.0,4.0,0.0
0.0,1213.0,1.0,0.0,0.0,0.0
0.0,64.0,1.0,0.0,0.0,0.0
54.0,344.0,2.0,54.0,0.0,1.0
6.0,168.0,1.0,6.0,2.0,1.0
0.0,1505.0,1.0,0.0,0.0,0.0
4.0,177.0,1.0,17.0,0.0,1.0
24.0,2351.0,1.0,24.0,0.0,6.0
6.0,2036.0,1.0,6.0,2.0,1.0
3.0,559.0,1.0,4.0,4.0,0.0
7.0,1095.0,1.0,7.0,3.0,1.0
0.0,518.0,1.0,0.0,0.0,0.0
0.0,2237.0,1.0,0.0,0.0,0.0
16.0,1648.0,1.0,16.0,0.0,4.0
53.0,816.0,1.0,53.0,0.0,0.0
5.0,87.0,1.0,5.0,1.0,1.0
5.0,1104.0,1.0,5.0,1.0,1.0
35.0,1176.0,1.0,35.0,3.0,8.0
0.0,2.0,1.0,0.0,0.0,0.0
0.0,2443.0,1.0,0.0,0.0,0.0
0.0,1514.0,1.0,0.0,0.0,0.0
4.0,703.0,1.0,4.0,0.0,1.0
0.0,176.0,1.0,3.0,3.0,0.0
27.0,1454.0,1.0,27.0,3.0,6.0
0.0,62.0,1.0,0.0,0.0,0.0
7.0,1330.0,1.0,7.0,3.0,1.0
4.0,1707.0,1.0,4.0,0.0,1.0
4.0,89.0,1.0,17.0,0.0,1.0
8.0,156.0,1.0,8.0,0.0,2.0
3.0,86.0,1.0,3.0,3.0,0.0
0.0,1349.0,1.0,0.0,0.0,0.0
4.0,2597.0,1.0,4.0,0.0,1.0
36.0,1908.0,1.0,36.0,4.0,8.0
