x,y,strength_percentage,strength,dexterity,constitution,intelligence,wisdom,charisma,score,hitpoints,max_hitpoints,depth,gold,energy,max_energy,armor_class,monster_level,experience_level,experience_points,time,hunger_state,carrying_capacity,dungeon_number,level_number,rewards
62.0,18.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
62.0,18.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.01
61.0,18.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
61.0,18.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,-0.01
61.0,17.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
62.0,17.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
62.0,17.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,-0.01
62.0,17.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,-0.01
62.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,-0.01
61.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0
61.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,-0.01
62.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,-0.01
63.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
63.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,-0.01
63.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,-0.01
64.0,16.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1.0,-0.01
64.0,15.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1.0,-0.01
64.0,14.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0
64.0,13.0,13.0,13.0,13.0,14.0,12.0,12.0,11.0,0.0,14.0,14.0,1.0,0.0,5.0,5.0,4.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,1.0,-0.01
